"cart","cart"
"minicart","minicart"
"For more information visit","For more information visit"
"Post data cannot be empty","Post data cannot be empty"
"CartId not found","CartId not found"
"Quote not found","Quote not found"
"Invalid order status found","Invalid order status found"
"placed Successfully.","placed Successfully."
"Quote not found","Quote not found."
"Status Updated Successfully","Status Updated Successfully."
"Error while placing an order.","Error while placing an order."
"COMPLETED","COMPLETED"
"PENDING","PENDING"
"Pay iO pay by bank","Pay iO pay by bank"
"Pay iO","Pay iO"
"Enabled","Enabled"
"Test Mode","Test Mode"
"Title","Title"
"Instructions","Instructions"
"Enable Express Checkout","Enable Express Checkout"
"Sort Order","Sort Order"
"Integration","Integration"
"API Key","API Key"
"Design","Design"
"Logo image","Logo image"
"Logo image alternative","Logo image alternative"
"Brand Colour","Brand Colour"
"New Order Placed","New Order Placed"
"No such entity with cartId","No such entity with cartId"
